+---------------------+---------+-------------+----------+----------------------+------------+-------------+----------------+----------------------------------+---------+---------+---------+-----------------+-----------------------------------+------------+--------------+---------------+-----------------------+-------+--------+-------+----------------------+-----------------------------------+
| name                | current | local_value | outgoing | value_added_outgoing | retention_ | steer_power | num_collectors | num_collectors_including_pirates | total   | p_pow   | max     | collector_power | collector_power_including_pirates | pull_power | retain_power | highest_power | total_privateer_power | add_  | value_ | from_ | trade_company_region | most_recent_treasure_ship_passage |
| bordeaux            |   2.359 |       4.182 |    1.823 |                1.823 |      0.564 |           1 |              7 |                                8 | 220.511 | 126.316 | 189.316 |         122.469 |                           122.469 |     95.013 |      122.469 |        32.889 |                  NULL |     0 |      0 |    70 | yes                  | 1.1.1                             |
| brazil              |   0.881 |       0.793 |     NULL |                 NULL |          1 |           0 |              3 |                                4 |  36.663 |   15.37 |   36.37 |          36.663 |                            36.663 |       NULL |       36.663 |          9.86 |                  NULL |     0 |      0 |    54 | NULL                 | 1.1.1                             |
| burma               |   6.809 |       6.637 |    3.131 |                3.131 |      0.685 |       0.556 |             16 |                               17 | 356.375 | 112.085 | 262.085 |         243.956 |                           243.956 |    112.419 |      243.956 |         15.84 |                  NULL | 0.335 |  3.303 |    14 | yes                  | 1.1.1                             |
| california          |   1.311 |       1.184 |    0.013 |                0.013 |       0.99 |           0 |              8 |                                9 |  87.433 |   30.69 |   86.69 |          86.554 |                            86.554 |      0.879 |       86.554 |         17.98 |                  NULL |     0 |  0.052 |     7 | NULL                 | 1.1.1                             |
| canton              |   1.331 |       5.411 |    5.323 |                5.323 |        0.2 |       0.449 |              1 |                                2 |  335.11 | 181.757 | 230.757 |          66.712 |                            66.712 |    268.398 |       66.712 |         61.61 |                  NULL | 0.137 |  1.243 |    16 | yes                  | 1.1.1                             |
| cape_of_good_hope   |    NULL |        NULL |     NULL |                 NULL |          1 |           0 |           NULL |                                1 |    NULL |    NULL |    NULL |            NULL |                              NULL |       NULL |         NULL |          NULL |                  NULL |     0 |      0 |    41 | yes                  | 1.1.1                             |
| carribean_trade     |   0.099 |       0.099 |     NULL |                 NULL |          1 |           0 |              1 |                                2 |   8.499 |    1.44 |    8.44 |           8.499 |                             8.499 |       NULL |        8.499 |          1.44 |                  NULL |     0 |      0 |    57 | NULL                 | 1.1.1                             |
| champagne           |   9.102 |       7.497 |    4.626 |                4.626 |      0.663 |           1 |              9 |                               10 | 694.439 | 167.826 | 538.622 |         460.185 |                           460.185 |    234.254 |      460.185 |         17.52 |                  NULL | 0.451 |  4.408 |    66 | yes                  | 1.1.1                             |
| chengdu             |   0.609 |       2.705 |    2.968 |                2.968 |       0.17 |           1 |              2 |                                3 | 277.033 |  67.828 | 196.758 |          46.839 |                            46.839 |    230.194 |       46.839 |        20.606 |                  NULL | 0.088 |  0.872 |    13 | yes                  | 1.1.1                             |
| chesapeake_bay      |   4.952 |       4.647 |    0.288 |                0.288 |      0.945 |           0 |             16 |                               17 | 174.766 |   43.89 |  161.89 |          165.01 |                            165.01 |      9.756 |       165.01 |         15.08 |                  NULL |     0 |      0 |    68 | NULL                 | 1.1.1                             |
| comorin_cape        |  13.991 |      10.339 |    1.889 |                1.889 |      0.881 |           0 |             13 |                               14 | 634.441 | 247.934 | 494.134 |          558.83 |                            558.83 |     75.611 |       558.83 |        24.699 |                  NULL | 0.432 |  3.952 |    34 | yes                  | 1.1.1                             |
| constantinople      |   6.797 |       6.006 |    1.218 |                1.218 |      0.848 |           1 |              5 |                                6 | 294.062 | 166.024 | 227.024 |         249.096 |                           249.096 |     44.966 |      249.096 |          34.8 |                  NULL | 0.006 |  0.089 |    49 | yes                  | 1.1.1                             |
| crimea              |   3.378 |       4.205 |    2.971 |                2.971 |      0.532 |       0.146 |              9 |                               10 | 408.049 | 158.036 | 346.035 |         214.355 |                           214.355 |    189.002 |      214.355 |        20.496 |                  NULL | 0.236 |  2.144 |    48 | yes                  | 1.1.1                             |
| cuiaba              |   0.916 |       1.183 |    0.267 |                0.267 |      0.774 |       0.333 |              4 |                                5 |  88.069 |  39.559 |  67.559 |          68.165 |                            68.165 |     19.904 |       68.165 |         14.16 |                  NULL |     0 |      0 |     5 | NULL                 | 1.1.1                             |
| deccan              |   6.293 |       8.906 |    5.066 |                5.066 |      0.554 |       0.695 |              7 |                                8 | 564.092 | 138.462 | 460.138 |         312.301 |                           312.301 |    251.791 |      312.301 |         17.52 |                  NULL | 0.249 |  2.453 |    32 | yes                  | 1.1.1                             |
| doab                |   5.966 |       6.978 |    3.944 |                3.944 |      0.602 |        0.44 |             17 |                               18 | 621.616 | 134.369 | 552.895 |         373.541 |                           373.541 |    247.363 |      373.541 |         19.68 |                  NULL | 0.297 |  2.932 |    31 | yes                  | 1.1.1                             |
| english_channel     |  16.722 |        9.62 |     NULL |                 NULL |          1 |        NULL |             10 |                               11 | 551.771 | 323.524 | 471.524 |         539.507 |                           551.771 |       NULL |      551.771 |            42 |                12.264 | 0.559 |  5.185 |    76 | yes                  | 1.1.1                             |
| ethiopia            |   1.902 |       2.512 |     0.66 |                 0.66 |      0.742 |       0.797 |             13 |                               14 | 308.248 |  73.173 | 255.169 |         228.178 |                           228.178 |     79.682 |      228.178 |          14.4 |                  NULL | 0.002 |   0.05 |    37 | yes                  | 1.1.1                             |
| ganges_delta        |     7.6 |       8.306 |    4.055 |                4.055 |      0.652 |        0.65 |             16 |                               17 | 586.204 | 230.614 | 496.945 |         381.911 |                           381.911 |    204.293 |      381.911 |        38.833 |                  NULL | 0.153 |  1.674 |    30 | yes                  | 1.1.1                             |
| genua               |  13.479 |       9.344 |     NULL |                 NULL |          1 |        NULL |             13 |                               14 | 368.026 | 283.191 | 379.191 |         368.026 |                           368.026 |       NULL |      368.026 |          52.5 |                  NULL |     0 |      0 |    76 | yes                  | 1.1.1                             |
| girin               |   3.454 |        4.45 |    0.996 |                0.996 |      0.776 |           1 |             12 |                               13 | 319.164 | 126.176 | 262.176 |         247.357 |                           247.357 |     71.807 |      247.357 |         18.91 |                  NULL |     0 |      0 |     8 | yes                  | 1.1.1                             |
| gujarat             |   8.038 |        5.57 |    2.622 |                2.622 |      0.754 |           0 |             13 |                               14 | 440.809 | 172.304 | 322.504 |         321.591 |                           321.591 |    105.037 |      321.591 |        38.488 |                  NULL | 0.206 |  1.924 |    35 | yes                  | 1.1.1                             |
| gulf_of_aden        |   6.162 |       5.534 |    1.697 |                1.697 |      0.784 |       0.521 |             13 |                               14 |  468.93 | 143.393 | 367.393 |         366.411 |                           366.411 |    101.518 |      366.411 |         18.27 |                  NULL | 0.173 |   1.57 |    36 | yes                  | 1.1.1                             |
| gulf_of_siam        |   8.992 |      10.956 |    3.909 |                3.909 |      0.697 |       0.283 |             10 |                               11 | 408.584 | 180.679 | 312.679 |         284.172 |                           284.172 |    123.926 |      284.172 |          16.8 |                  NULL | 0.205 |  1.945 |    15 | yes                  | 1.1.1                             |
| hangzhou            |    NULL |       8.561 |    9.192 |                9.192 |          0 |           0 |           NULL |                                1 | 267.123 |  175.15 |  177.15 |            NULL |                              NULL |    267.123 |         NULL |        26.535 |                  NULL |     0 |  0.631 |    23 | yes                  | 1.1.1                             |
| hormuz              |   4.745 |       3.583 |    1.201 |                1.201 |      0.798 |           1 |              5 |                                6 | 196.349 | 103.624 | 157.624 |         156.523 |                           156.523 |     39.826 |      156.523 |        16.626 |                  NULL | 0.106 |   0.99 |    39 | yes                  | 1.1.1                             |
| ivory_coast         |   2.653 |       1.876 |     NULL |                 NULL |          1 |           0 |              5 |                                6 | 161.007 |  91.112 | 163.112 |          139.77 |                            139.77 |       NULL |       139.77 |         24.94 |                  NULL |     0 |      0 |    42 | yes                  | 1.1.1                             |
| james_bay           |    1.01 |       1.115 |    0.105 |                0.105 |      0.905 |         0.5 |              8 |                                9 |  76.763 |   12.84 |   68.84 |          69.441 |                            69.441 |      7.322 |       69.441 |          2.16 |                  NULL |  NULL |   NULL |  NULL | NULL                 | 1.1.1                             |
| katsina             |   2.337 |       3.697 |     1.36 |                 1.36 |      0.632 |       0.036 |              8 |                                9 | 337.097 |  77.133 | 298.262 |         213.038 |                           213.038 |    124.059 |      213.038 |          15.6 |                  NULL |  NULL |   NULL |  NULL | yes                  | 1.1.1                             |
| kazan               |   2.391 |       2.813 |    1.661 |                1.661 |       0.59 |           1 |              2 |                                3 | 154.916 |  65.268 | 118.267 |          87.592 |                            87.592 |     61.006 |       87.592 |          15.6 |                  NULL |  0.05 |  1.061 |    48 | yes                  | 1.1.1                             |
| kiev                |   2.662 |       4.514 |    4.552 |                4.552 |      0.369 |       0.363 |              2 |                                3 | 433.791 |  85.614 | 365.609 |         159.341 |                           159.341 |    272.502 |      159.341 |        13.908 |                  NULL | 0.252 |    2.7 |    49 | yes                  | 1.1.1                             |
| kongo               |   2.544 |       2.875 |    0.798 |                0.798 |      0.761 |       0.877 |             11 |                               12 | 303.368 |  73.472 | 268.467 |         230.702 |                           230.702 |     72.666 |      230.702 |          15.6 |                  NULL | 0.047 |  0.467 |     1 | yes                  | 1.1.1                             |
| krakow              |   3.267 |       4.777 |    3.803 |                3.803 |      0.462 |           0 |              4 |                                5 | 506.568 | 112.043 | 402.035 |         233.703 |                           233.703 |    272.865 |      233.703 |          16.8 |                  NULL | 0.034 |  0.491 |    61 | yes                  | 1.1.1                             |
| lahore              |   4.297 |       5.742 |    3.376 |                3.376 |       0.56 |       0.385 |              7 |                                8 | 464.824 | 114.004 | 354.334 |         258.347 |                           258.347 |    203.761 |      258.347 |        18.343 |                  NULL | 0.196 |  1.931 |    32 | yes                  | 1.1.1                             |
| laplata             |   0.265 |       0.148 |     NULL |                 NULL |          1 |           1 |              2 |                                3 |   40.37 |   26.09 |   40.09 |           40.37 |                             40.37 |       NULL |        40.37 |         24.65 |                  NULL |     0 |  0.088 |    19 | NULL                 | 1.1.1                             |
| lhasa               |   0.672 |       1.569 |    0.897 |                0.897 |      0.428 |       0.124 |              7 |                                8 | 290.102 |  43.881 | 217.024 |         124.039 |                           124.039 |    166.063 |      124.039 |         13.68 |                  NULL |  NULL |   NULL |  NULL | yes                  | 1.1.1                             |
| lima                |    2.27 |       2.225 |    0.043 |                0.043 |      0.981 |           0 |              8 |                                9 | 145.456 |  84.902 | 140.902 |         142.629 |                           142.629 |      2.827 |      142.629 |         16.24 |                  NULL |     0 |  0.088 |    19 | NULL                 | 1.1.1                             |
| lubeck              |    10.1 |       5.818 |    1.235 |                1.235 |      0.891 |           1 |             14 |                               15 | 603.324 |  277.46 |  467.46 |         526.742 |                           526.742 |     64.842 |      526.742 |          49.3 |                  NULL |  0.08 |  0.801 |    66 | yes                  | 1.1.1                             |
| malacca             |   16.81 |      10.652 |    1.521 |                1.521 |      0.917 |           0 |             20 |                               21 | 615.612 | 222.717 | 464.717 |         564.028 |                           564.028 |     51.584 |      564.028 |         19.43 |                  NULL | 0.137 |  1.225 |    27 | yes                  | 1.1.1                             |
| mexico              |   8.983 |       8.985 |     0.09 |                 0.09 |       0.99 |           0 |             26 |                               27 |  346.26 | 156.079 | 338.079 |         342.563 |                           342.563 |      3.697 |      342.563 |         15.95 |                  NULL |     0 |      0 |     8 | NULL                 | 1.1.1                             |
| mississippi_river   |   2.927 |       2.888 |    0.062 |                0.062 |      0.979 |           1 |             16 |                               17 |  144.04 |  27.752 | 139.752 |         140.969 |                           140.969 |      3.071 |      140.969 |          2.16 |                  NULL |     0 |  0.013 |     8 | NULL                 | 1.1.1                             |
| nippon              |    8.52 |       8.027 |    0.631 |                0.631 |      0.931 |           1 |             33 |                               34 |  567.77 | 218.301 | 511.301 |         528.327 |                           528.327 |     39.443 |      528.327 |         18.85 |                  NULL |     0 |      0 |    21 | yes                  | 1.1.1                             |
| north_sea           |   2.999 |       4.317 |    1.876 |                1.876 |      0.615 |       0.707 |             14 |                               15 | 533.359 | 123.878 | 413.878 |          326.72 |                            326.72 |    204.534 |       326.72 |         19.14 |                  NULL |     0 |  0.558 |    71 | yes                  | 1.1.1                             |
| novgorod            |   8.716 |       5.857 |    2.124 |                2.124 |      0.804 |       0.034 |              8 |                                9 | 304.471 | 163.714 | 246.714 |         242.718 |                           242.718 |     59.308 |      242.718 |        29.602 |                  NULL | 0.344 |  3.239 |    51 | yes                  | 1.1.1                             |
| ohio                |   4.594 |       5.065 |    0.533 |                0.533 |      0.896 |           0 |             30 |                               31 | 406.628 |   72.84 | 395.678 |         364.098 |                           364.098 |      42.53 |      364.098 |         15.34 |                  NULL |     0 |  0.062 |    10 | NULL                 | 1.1.1                             |
| panama              |   1.264 |       1.131 |     NULL |                 NULL |          1 |           1 |              4 |                                5 |  47.925 |  18.392 |  42.392 |          47.925 |                            47.925 |       NULL |       47.925 |          9.36 |                  NULL |     0 |      0 |    21 | NULL                 | 1.1.1                             |
| patagonia           |   0.053 |       0.082 |    0.029 |                0.029 |       0.64 |           0 |              1 |                                2 |  13.765 |    1.74 |    8.74 |           8.801 |                             8.801 |      4.964 |        8.801 |          1.74 |                  NULL |  NULL |   NULL |  NULL | NULL                 | 1.1.1                             |
| persia              |   8.725 |       6.085 |    2.954 |                2.954 |      0.747 |       0.748 |             11 |                               12 | 645.848 | 191.456 | 564.783 |         482.182 |                           482.182 |    163.666 |      482.182 |         18.48 |                  NULL | 0.311 |  3.069 |    43 | yes                  | 1.1.1                             |
| pest                |   3.327 |       3.309 |    3.721 |                3.721 |      0.472 |       0.123 |              2 |                                3 | 385.927 |   84.54 | 323.201 |          179.81 |                            179.81 |    201.829 |       179.81 |         14.64 |                  NULL | 0.333 |  3.285 |    59 | yes                  | 1.1.1                             |
| philippines         |   5.032 |       3.084 |    0.738 |                0.738 |      0.872 |           0 |              8 |                                9 | 275.359 |  89.085 | 219.085 |         239.936 |                           239.936 |     35.423 |      239.936 |         17.98 |                  NULL | 0.296 |  2.686 |    17 | yes                  | 1.1.1                             |
| polynesia_node      |   1.791 |       1.791 |     NULL |                 NULL |          1 |           0 |             16 |                               17 | 434.338 |   46.98 |  430.98 |         434.338 |                           434.338 |       NULL |      434.338 |          9.57 |                  NULL |     0 |      0 |    18 | yes                  | 1.1.1                             |
| ragusa              |   2.319 |        4.88 |    3.931 |                3.931 |      0.371 |       0.146 |              8 |                                9 | 479.048 | 138.908 | 345.572 |          163.81 |                            163.81 |     278.56 |       163.81 |          22.4 |                  NULL | 0.152 |   1.37 |    50 | yes                  | 1.1.1                             |
| rheinland           |   9.136 |       7.552 |    4.684 |                4.684 |      0.661 |       0.154 |             22 |                               23 |  719.73 | 164.784 | 547.689 |         469.525 |                           469.525 |    241.605 |      469.525 |          20.7 |                  NULL | 0.348 |  3.433 |    64 | yes                  | 1.1.1                             |
| rio_grande          |   1.445 |       1.711 |    0.266 |                0.266 |      0.844 |       0.333 |             10 |                               11 | 110.884 |   23.43 |   93.43 |          93.564 |                            93.564 |      17.32 |       93.564 |          7.92 |                  NULL |  NULL |   NULL |  NULL | NULL                 | 1.1.1                             |
| safi                |   2.639 |       3.426 |    0.787 |                0.787 |       0.77 |           1 |              6 |                                7 | 206.341 | 100.884 | 159.884 |         158.817 |                           158.817 |     47.524 |      158.817 |         15.12 |                  NULL |     0 |      0 |    56 | yes                  | 1.1.1                             |
| samarkand           |   4.286 |       4.509 |    3.464 |                3.464 |      0.553 |       0.331 |              4 |                                5 | 338.931 | 118.165 | 294.829 |         187.144 |                           187.144 |    151.787 |      187.144 |         17.04 |                  NULL | 0.155 |  2.227 |    33 | yes                  | 1.1.1                             |
| saxony              |   4.843 |       5.283 |    4.633 |                4.633 |      0.511 |       0.333 |              8 |                                9 | 613.636 | 115.489 | 493.925 |         311.177 |                           311.177 |    298.181 |      311.177 |         17.28 |                  NULL | 0.241 |  2.374 |    63 | yes                  | 1.1.1                             |
| sevilla             |   8.861 |       7.256 |    0.349 |                0.349 |      0.962 |           1 |              4 |                                5 | 316.484 | 253.714 | 292.714 |         301.129 |                           301.129 |     11.993 |      301.129 |         33.64 |                  NULL |     0 |      0 |    68 | yes                  | 1.1.1                             |
| siberia             |   1.125 |       1.481 |    0.356 |                0.356 |      0.759 |         0.5 |              1 |                                2 | 128.988 |   36.99 |   93.99 |          93.652 |                            93.652 |     29.858 |       93.652 |          9.62 |                  NULL |     0 |      0 |     9 | yes                  | 1.1.1                             |
| st_lawrence         |   3.292 |       2.925 |     NULL |                 NULL |          1 |           0 |              8 |                                9 |  98.945 |   39.35 |   95.35 |          98.945 |                            98.945 |       NULL |       98.945 |         18.27 |                  NULL | 0.027 |  0.315 |    69 | NULL                 | 1.1.1                             |
| the_moluccas        |   7.482 |       7.742 |    1.088 |                1.088 |      0.873 |           1 |             10 |                               11 | 340.342 | 121.104 | 287.104 |         297.053 |                           297.053 |     43.289 |      297.053 |         18.56 |                  NULL |     0 |      0 |    22 | yes                  | 1.1.1                             |
| timbuktu            |   5.364 |        4.55 |    0.642 |                0.642 |      0.893 |           1 |             12 |                               13 | 368.021 | 113.879 |  310.21 |         324.536 |                           324.536 |     39.238 |      324.536 |         16.32 |                  NULL | 0.147 |  1.456 |    37 | yes                  | 1.1.1                             |
| tunis               |   1.077 |       2.404 |    1.327 |                1.327 |      0.448 |       0.184 |              5 |                                6 | 232.377 |  71.137 | 110.137 |         102.404 |                           102.404 |    126.611 |      102.404 |         18.56 |                  NULL |     0 |      0 |    37 | yes                  | 1.1.1                             |
| valencia            |   2.244 |       3.217 |    1.322 |                1.322 |      0.629 |           1 |              1 |                                2 | 148.385 |  81.495 |  92.495 |          77.833 |                            77.833 |     45.932 |       77.833 |        18.772 |                  NULL |     0 |  0.349 |    75 | yes                  | 1.1.1                             |
| venice              |  10.208 |       6.346 |     NULL |                 NULL |          1 |        NULL |              7 |                                8 | 259.616 | 175.275 | 223.275 |         244.408 |                           244.408 |       NULL |      244.408 |          53.2 |                  NULL | 0.221 |   2.01 |    63 | yes                  | 1.1.1                             |
| white_sea           |   0.993 |       1.476 |    0.558 |                0.558 |       0.64 |           1 |              2 |                                3 |  58.707 |  46.373 |  55.373 |          34.272 |                            34.272 |     19.359 |       34.272 |         20.35 |                  NULL | 0.003 |  0.075 |    53 | yes                  | 1.1.1                             |
| wien                |   5.798 |       6.243 |    6.484 |                6.484 |      0.472 |       0.329 |             14 |                               15 | 827.259 | 137.406 | 683.688 |         390.357 |                           390.357 |    436.902 |      390.357 |          18.9 |                  NULL | 0.246 |  2.409 |    62 | yes                  | 1.1.1                             |
| xian                |    NULL |       4.221 |    4.221 |                4.221 |          0 |        0.31 |           NULL |                                1 | 274.613 |  75.623 | 224.255 |            NULL |                              NULL |    274.613 |         NULL |        17.044 |                  NULL |     0 |      0 |    24 | yes                  | 1.1.1                             |
| yumen               |   5.272 |       2.848 |    0.836 |                0.836 |      0.863 |           1 |              4 |                                5 | 250.076 |  82.543 | 213.542 |         209.926 |                           209.926 |     33.539 |      209.926 |        12.551 |                  NULL |     0 |  1.854 |    26 | yes                  | 1.1.1                             |
| zambezi             |    1.97 |       1.974 |    0.781 |                0.781 |      0.716 |           1 |              6 |                                7 | 208.056 |  55.345 | 170.341 |         148.865 |                           148.865 |     59.191 |      148.865 |          14.4 |                  NULL | 0.078 |  0.777 |     2 | yes                  | 1.1.1                             |
| zanzibar            |    4.81 |       3.341 |     NULL |                 NULL |          1 |           0 |             10 |                               11 | 385.693 | 137.157 | 345.957 |         371.949 |                           384.153 |       NULL |      384.153 |         17.98 |                12.204 | 0.056 |  0.612 |    39 | yes                  | 1.1.1                             |
+---------------------+---------+-------------+----------+----------------------+------------+-------------+----------------+----------------------------------+---------+---------+---------+-----------------+-----------------------------------+------------+--------------+---------------+-----------------------+-------+--------+-------+----------------------+-----------------------------------+
